,sentence,sentiment_values
59,It ultimately stands forth as an important chronicle of the abuses of one of Latin America 's most oppressive regimes .,2
60,"Half Submarine flick , Half Ghost Story , All in one criminally neglected film",2
61,"Witty and often surprising , a dark little morality tale disguised as a romantic comedy .",4
62,"A very well-meaning movie , and it will stand in future years as an eloquent memorial to the World Trade Center tragedy .",3
63,"After seeing ` Analyze That , ' I feel better already .",3
64,"It 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",3
65,"It 's a technically superb film , shining with all the usual Spielberg flair , expertly utilizing the talents of his top-notch creative team .",4
66,A waste of fearless purity in the acting craft .,1
67,"A weird little movie that 's amusing enough while you watch it , offering fine acting moments and pungent insights into modern L.A. 's show-biz and media subcultures .",3
68,"Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .",2
69,"Jackson tries to keep the plates spinning as best he can , but all the bouncing back and forth ca n't help but become a bit tedious -- even with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting .",2
70,Full Frontal is the antidote for Soderbergh fans who think he 's gone too commercial since his two Oscar nominated films in 2000,4
71,"In other words , it 's just another sports drama\/character study .",1
72,You can practically smell the patchouli oil .,1
73,"Quitting delivers a sucker-punch , and its impact is all the greater beause director Zhang 's last film , the cuddly Shower , was a non-threatening multi-character piece centered around a public bath house .",2
74,"Not every animated film from Disney will become a classic , but forgive me if I 've come to expect more from this studio than some 79-minute after-school `` cartoon '' .",1
75,"It 's a good film -- not a classic , but odd , entertaining and authentic .",4
76,"Collateral Damage offers formula payback and the Big Payoff , but the explosions tend to simply hit their marks , pyro-correctly .",2
77,"Still , it gets the job done -- a sleepy afternoon rental .",1
78,"The sort of picture in which , whenever one of the characters has some serious soul searching to do , they go to a picture-perfect beach during sunset .",1
79,It 's fun lite .,3
80,The story has little wit and no surprises .,1
81,"Rich in shadowy metaphor and as sharp as a samurai sword , Jiang Wen 's Devils on the Doorstep is a wartime farce in the alternately comic and gut-wrenching style of Joseph Heller or Kurt Vonnegut .",4
82,I could have used my two hours better watching Being John Malkovich again .,1
83,Rainy days and movies about the disintegration of families always get me down .,1
84,"Despite engaging offbeat touches , Knockaround Guys rarely seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast .",1
85,It 's also not smart or barbed enough for older viewers -- not everyone thinks poo-poo jokes are ` edgy . ',0
86,Its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,3
87,"As each of them searches for their place in the world , Miller digs into their very minds to find an unblinking , flawed humanity .",3
88,"Feels slight , as if it were an extended short , albeit one made by the smartest kids in class .",2
89,Just embarrassment and a vague sense of shame .,0
90,"Perry 's good and his is an interesting character , but `` Serving Sara '' has n't much more to serve than silly fluff .",1
91,It manages to squeeze by on Angelina Jolie 's surprising flair for self-deprecating comedy .,3
92,"Occasionally funny and consistently odd , and it works reasonably well as a star vehicle for Zhao .",3
93,"This is n't a terrible film by any means , but it 's also far from being a realized work .",2
94,It shows us a slice of life that 's very different from our own and yet instantly recognizable .,3
95,Manages to accomplish what few sequels can -- it equals the original and in some ways even betters it .,3
96,"It 's not exactly worth the bucks to expend the full price for a date , but when it comes out on video , it 's well worth a rental .",2
97,It 's refreshing to see a romance this smart .,3
98,"Pretty darn good , despite its smarty-pants aura .",3
99,"With an unusual protagonist ( a kilt-wearing Jackson ) and subject matter , the improbable `` Formula 51 '' is somewhat entertaining , but it could have been much stronger .",3
100,Big mistake .,1
101,"They presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",1
102,"Suffocated by its fussy script and uptight characters , this musty adaptation is all the more annoying since it 's been packaged and sold back to us by Hollywood .",0
103,"This is a film about the irksome , tiresome nature of complacency that remains utterly satisfied to remain the same throughout .",1
104,"The movie is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory .",0
105,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .",4
106,"There is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .",3
107,Despite modest aspirations its occasional charms are not to be dismissed .,3
108,"An inexperienced director , Mehta has much to learn .",1
109,The movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .,2
110,The film 's unhurried pace is actually one of its strengths .,3
111,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,1
112,"It would be interesting to hear from the other side , but in Talk to Her , the women are down for the count .",2
113,"As spent screen series go , Star Trek : Nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there 's nothing to drink .",2
114,"Morvern Callar confirms Lynne Ramsay as an important , original talent in international cinema .",4
115,"A movie that 's just plain awful but still manages to entertain on a guilty-pleasure , so-bad-it 's - funny level .",2
116,I hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,4
117,It 's quite diverting nonsense .,1
118,One of ( Jaglom 's ) better efforts -- a wry and sometime bitter movie about love .,2
119,"It 's tough to tell which is in more abundant supply in this woefully hackneyed movie , directed by Scott Kalvert , about street gangs and turf wars in 1958 Brooklyn -- stale cliches , gratuitous violence , or empty machismo .",1
120,"A sterling film - a cross between Boys Do n't Cry , Deliverance , and Ode to Billy Joe - lies somewhere in the story of Matthew Shepard , but that film is yet to be made .",2
121,A relative letdown .,0
122,"The Pianist is a fine valedictory work for Polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .",3
123,Director Dirk Shafer and co-writer Greg Hinton ride the dubious divide where gay porn reaches for serious drama .,1
124,"Using an endearing cast , writer\/director Dover Kosashvili takes a slightly dark look at relationships , both sexual and kindred .",3
125,"If Disney 's Cinderella proved that ' a dream is a wish your heart makes , ' then Cinderella II proves that a nightmare is a wish a studio 's wallet makes .",1
126,"With its paint fights , motorized scooter chases and dewy-eyed sentiment , it 's a pretty listless collection of kid-movie cliches .",1
127,"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll .",4
128,Great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex .,3
129,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .,4
130,well worth the time .,4
131,"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",4
132,"Passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards .",1
133,Eight Legged Freaks ?,1
134,"Excessive , profane , packed with cartoonish violence and comic-strip characters .",1
135,Fancy a real downer ?,1
136,"Maneuvers skillfully through the plot 's hot brine -- until it 's undone by the sogginess of its contemporary characters , and actors .",2
137,Twist open the Ouzo !,2
138,The film is so packed with subplots involving the various Silbersteins that it feels more like the pilot episode of a TV series than a feature film .,1
139,Skillfully weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise .,4
140,"It may not be history -- but then again , what if it is ?",2
141,"A violent initiation rite for the audience , as much as it is for Angelique , the ( opening ) dance guarantees Karmen 's enthronement among the cinema 's memorable women .",2
142,Reign of Fire just might go down as one of the all-time great apocalypse movies .,3
143,"A Blair Witch - style adventure that plays like a bad soap opera , with passable performances from everyone in the cast .",1
144,Simply and eloquently articulates the tangled feelings of particular New Yorkers deeply touched by an unprecedented tragedy .,4
145,More of a career curio than a major work .,2
146,"... does such a fine job of engulfing you in its world and allying you with its characters ' choices , good and ill , that its shortcomings are remembered only as an afterthought .",2
147,"If all of Eight Legged Freaks was as entertaining as the final hour , I would have no problem giving it an unqualified recommendation .",2
148,"Hardly makes the kind of points Egoyan wanted to make , nor does it exist as the kind of monument he wanted to build , to victims whose voices have never gained the ears of the world .",2
149,Staggeringly dreadful romance .,0
150,A thoroughly entertaining comedy that uses Grant 's own twist of acidity to prevent itself from succumbing to its own bathos .,4
151,Outrageousness is all Plympton seemed to be going for this time .,1
152,No Such Thing breaks no new ground and treads old turf like a hippopotamus ballerina .,1
153,Check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on .,1
154,"Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out .",4
155,"A thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause .",4
156,"All the pieces fall together without much surprise , but little moments give it a boost .",3
157,"Whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .",3
158,One funny popcorn flick .,3
159,The most ill-conceived animated comedy since the 1991 dog Rover Dangerfield .,2
160,"It 's not without its pleasures , but I 'll stick with The Tune .",2
161,"For all the wit and hoopla , Festival In Cannes offers rare insight into the structure of relationships .",3
162,"Unfortunately , Carvey 's rubber-face routine is no match for the insipid script he has crafted with Harris Goldberg .",1
163,"Like Dickens with his passages , McGrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",4
164,"this film is not a love letter for the slain rappers , it 's a taunt - a call for justice for two crimes from which many of us have not yet recovered .",2
165,"The heedless impetuousness of youth is on full , irritating display in ( this ) meandering and pointless French coming-of-age import from writer-director Anne-Sophie Birot .",0
166,"Director Kevin Bray excels in breaking glass and marking off the `` Miami Vice '' checklist of power boats , Latin music and dog tracks .",2
167,Well-meaning but inert .,2
168,Contrived pastiche of caper cliches .,1
169,The drama discloses almost nothing .,1
170,Almost as offensive as `` Freddy Got Fingered . '',1
171,"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic .",4
172,"The film 's lack of personality permeates all its aspects -- from the TV movie-esque , affected child acting to the dullest Irish pub scenes ever filmed .",0
173,Rodriguez does a splendid job of racial profiling Hollywood style -- casting excellent Latin actors of all ages -- a trend long overdue .,3
174,Falls neatly into the category of Good Stupid Fun .,3
175,"All that ( Powerpuff Girls ) charm is present in the movie , but it 's spread too thin .",1
176,"There are flaws , but also stretches of impact and moments of awe ; we 're wrapped up in the characters , how they make their choices , and why .",3
177,... ( like ) channel surfing between the Discovery Channel and a late-night made-for-cable action movie .,1
178,"Showtime is one of the hapless victims of the arrogant `` if we put together a wry white man and a chatty black man and give them guns , the movie will be funny '' syndrome .",0
179,"The movie does n't think much of its characters , its protagonist , or of us .",1
180,"In Moonlight Mile , no one gets shut out of the hug cycle .",2
181,"Skin Of Man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .",3
182,` They ' begins and ends with scenes so terrifying I 'm still stunned .,2
183,"It dares to be a little different , and that shading is what makes it worthwhile .",3
184,"If somebody was bored and ... decided to make a dull , pretentious version of Jesus ' Son , they 'd come up with something like Bart Freundlich 's World Traveler .",1
185,This u-boat does n't have a captain .,1
186,"You really have to salute writer-director Haneke ( he adapted Elfriede Jelinek 's novel ) for making a film that is n't nearly as graphic but much more powerful , brutally shocking and difficult to watch .",2
187,This masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .,3
188,"Too smart to ignore but a little too smugly superior to like , this could be a movie that ends up slapping its target audience in the face by shooting itself in the foot .",1
189,"A film which presses familiar Herzog tropes into the service of a limpid and conventional historical fiction , when really what we demand of the director is to be mesmerised .",1
190,"Not as good as the original , but what is ...",2
191,"By the end of No Such Thing the audience , like Beatrice , has a watchful affection for the monster .",3
192,A picture as erratic as its central character .,2
193,It 's not as awful as some of the recent Hollywood trip tripe ... but it 's far from a groundbreaking endeavor .,1
194,Not many movies have that kind of impact on me these days .,4
195,The film is impressive for the sights and sounds of the wondrous beats the world has to offer .,4
196,"An operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .",3
197,"... a solid , unassuming drama .",3
198,Boomers and their kids will have a Barrie good time .,3
199,"If this is cinema , I pledge allegiance to Cagney and Lacey .",0
200,` De Niro ... is a veritable source of sincere passion that this Hollywood contrivance orbits around . ',4
201,The quirky and recessive charms of co-stars Martin Donovan and Mary-Louise Parker help overcome the problematic script .,3
202,"While kids will probably eat the whole thing up , most adults will be way ahead of the plot .",2
203,"Like its New England characters , most of whom wander about in thick clouds of denial , the movie eventually gets around to its real emotional business , striking deep chords of sadness .",3
204,"This one is certainly well-meaning , but it 's also simple-minded and contrived .",2
205,"Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting .",3
206,"The good is very , very good ... The rest runs from mildly unimpressive to despairingly awful .",2
207,This is how you use special effects .,4
208,"Its direction , its script , and Weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",3
209,What an embarrassment .,0
210,She allows each character to confront their problems openly and honestly .,3
211,"Despite some charm and heart , this quirky soccer import is forgettable",1
212,"A big , loud , bang-the-drum bore .",1
213,"The format gets used best ... to capture the dizzying heights achieved by motocross and BMX riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .",3
214,"Sweet Home Alabama is one dumb movie , but its stupidity is so relentlessly harmless that it almost wins you over in the end .",2
215,There 's no disguising this as one of the worst films of the summer .,0
216,"What makes the film special is the refreshingly unhibited enthusiasm that the people , in spite of clearly evident poverty and hardship , bring to their music .",3
217,Stealing Harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .,1
218,"For all its brilliant touches , Dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .",1
219,"Last Dance , whatever its flaws , fulfills one facet of its mission in making me want to find out whether , in this case , that 's true .",2
220,"What could have become just another cautionary fable is allowed to play out as a clever , charming tale -- as pleasantly in its own way as its self-dramatizing characters .",3
221,Taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .,0
222,"Fubar is very funny , but not always in a laugh-out-loud way .",2
223,It 's like a drive-by .,1
224,The big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,1
225,"( Schweiger is ) talented and terribly charismatic , qualities essential to both movie stars and social anarchists .",3
226,Culkin turns his character into what is basically an anti-Harry Potter -- right down to the Gryffindor scarf .,2
227,"Shamelessly sappy and , worse , runs away from its own provocative theme .",0
228,` Hey Arnold ! ',2
229,"Nair stuffs the film with dancing , henna , ornamentation , and group song , but her narrative cliches and telegraphed episodes smell of old soap opera .",1
230,But it does somehow manage to get you under its spell .,3
231,"` Charly ' will divide its audience in two separate groups , those reaching for more tissues and those begging for mercy ...",2
232,Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes .,2
233,"Big Fat Liar is little more than Home Alone raised to a new , self-deprecating level .",0
234,Feels like the grittiest movie that was ever made for the Lifetime cable television network .,2
235,An engaging criminal romp that will have viewers guessing just who 's being conned right up to the finale .,3
236,It 's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are first-rate .,4
237,"`` Sorority Boys '' was funnier , and that movie was pretty bad .",0
238,The camera twirls !,2
239,"Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .",3
240,"Being unique does n't necessarily equate to being good , no matter how admirably the filmmakers have gone for broke .",1
241,"I had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , and its name was Earnest .",4
242,Moonlight Mile does n't quite go the distance but the cast is impressive and they all give life to these broken characters who are trying to make their way through this tragedy .,3
243,"It might not be 1970s animation , but everything else about it is straight from the Saturday morning cartoons -- a retread story , bad writing , and the same old silliness .",0
244,"Weaver and LaPaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk .",4
245,"The kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",4
246,May reawaken discussion of the Kennedy assassination but this fictional film looks made for cable rather than for the big screen .,1
247,A well acted and well intentioned snoozer .,1
248,"Affirms the gifts of all involved , starting with Spielberg and going right through the ranks of the players -- on-camera and off -- that he brings together .",3
249,They ought to be a whole lot scarier than they are in this tepid genre offering .,1
250,Entertaining but like shooting fish in a barrel .,2
251,"Though a touch too Arthouse 101 in its poetic symbolism , Heaven proves to be a good match of the sensibilities of two directors .",3
252,The film does give a pretty good overall picture of the situation in Laramie following the murder of Matthew Shepard .,3
253,Ca n't seem to get anywhere near the story 's center .,2
254,Eight Legged Freaks falls flat as a spoof .,1
255,"Borstal Boy represents the worst kind of filmmaking , the kind that pretends to be passionate and truthful but is really frustratingly timid and soggy .",0
256,"But it has an ambition to say something about its subjects , but not a willingness .",1
257,"Such a wildly uneven hit-and-miss enterprise , you ca n't help suspecting that it was improvised on a day-to-day basis during production .",1
258,It 's all a rather shapeless good time ...,2
259,A sincere but dramatically conflicted gay coming-of-age tale .,2
260,A fan film that for the uninitiated plays better on video with the sound turned down .,1
261,This film is full of rabbits .,2
262,Cube 's charisma and chemistry compensate for corniness and cliche .,2
263,"his ( Nelson 's ) screenplay needs some serious re-working to show more of the dilemma , rather than have his characters stage shouting matches about it .",1
264,"Officially , it is twice as bestial but half as funny .",1
265,The film equivalent of a toy chest whose contents get scattered over the course of 80 minutes .,1
266,It 's uninteresting .,0
267,Works because Reno does n't become smug or sanctimonious towards the audience .,4
268,A sluggish pace and lack of genuine narrative hem the movie in every bit as much as life hems in the spirits of these young women .,1
269,"A family film that contains some hefty thematic material on time , death , eternity , and what is needed to live a rich and full life .",3
270,"It 's a film with an idea buried somewhere inside its fabric , but never clearly seen or felt .",1
271,"Elling really is about a couple of crazy guys , and it 's therapeutic to laugh along with them .",3
272,"It 's funny and human and really pretty damned wonderful , all at once .",3
273,Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role .,3
274,"The story plays out slowly , but the characters are intriguing and realistic .",3
275,More whiny downer than corruscating commentary .,1
276,"Although it 's a bit smug and repetitive , this documentary engages your brain in a way few current films do .",3
277,"Continually challenges perceptions of guilt and innocence , of good guys and bad , and asks us whether a noble end can justify evil means .",3
278,"It 's not the worst comedy of the year , but it certainly wo n't win any honors .",2
279,A dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .,1
280,"This is cool , slick stuff , ready to quench the thirst of an audience that misses the summer blockbusters .",4
281,Every conceivable mistake a director could make in filming opera has been perpetrated here .,0
282,"Oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between .",0
283,"All the filmmakers are asking of us , is to believe in something that is improbable .",2
284,"If you like an extreme action-packed film with a hint of humor , then Triple X marks the spot .",3
285,"I 'm convinced I could keep a family of five blind , crippled , Amish people alive in this situation better than these British soldiers do at keeping themselves kicking .",1
286,"The cast ... keeps this pretty watchable , and casting Mick Jagger as director of the escort service was inspired .",3
287,"It 's rather like a Lifetime special -- pleasant , sweet and forgettable .",3
288,Here is a VH1 Behind the Music special that has something a little more special behind it : music that did n't sell many records but helped change a nation .,3
289,Hawke draws out the best from his large cast in beautifully articulated portrayals that are subtle and so expressive they can sustain the poetic flights in Burdette 's dialogue .,4
290,Friday After Next is a lot more bluster than bite .,1
291,It 's been 20 years since 48 Hrs .,2
292,It deserves to be seen everywhere .,3
293,"... has its moments , but ultimately , its curmudgeon does n't quite make the cut of being placed on any list of favorites .",2
294,"But based on CQ , I 'll certainly be keeping an eye out for his next project .",3
295,Able to provide insight into a fascinating part of theater history .,3
296,There 's not enough here to justify the almost two hours .,1
297,It follows the basic plot trajectory of nearly every Schwarzenegger film : Someone crosses Arnie .,2
298,"... a ho-hum affair , always watchable yet hardly memorable .",2
299,Comes ... uncomfortably close to coasting in the treads of The Bicycle Thief .,1
300,About the best thing you could say about Narc is that it 's a rock-solid little genre picture .,3
301,"Both flawed and delayed , Martin Scorcese 's Gangs of New York still emerges as his most vital work since GoodFellas .",2
302,And for all the wrong reasons besides .,1
303,A fairly enjoyable mixture of Longest Yard ... and the 1999 Guy Ritchie caper Lock Stock and Two Smoking Barrels .,3
304,"is now stretched to barely feature length , with a little more attention paid to the animation .",2
305,... a confusing drudgery .,1
306,This is standard crime drama fare ... instantly forgettable and thoroughly dull .,0
307,"However it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .",1
308,A thriller made from a completist 's checklist rather than with a cultist 's passion .,2
309,"Creeps you out in high style , even if Nakata did it better .",2
310,"As is often the case with ambitious , eager first-time filmmakers , Mr. Murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold .",1
311,Let 's hope not .,2
312,Would n't it be funny if a bunch of Allied soldiers went undercover as women in a German factory during World War II ?,2
313,"None of this has the suavity or classical familiarity of Bond , but much of it is good for a laugh .",2
314,"Maybe there 's a metaphor here , but figuring it out would n't make Trouble Every Day any better .",1
315,"Though there are many tense scenes in Trapped , they prove more distressing than suspenseful .",1
316,"Oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .",0
317,"This big screen caper has a good bark , far from being a bow-wow .",2
318,"There 's an excellent 90-minute film here ; unfortunately , it runs for 170 .",1
319,DeMeo is not without talent ; he just needs better material .,2
320,"My precious new Star Wars movie is a lumbering , wheezy drag ...",0
321,Verete has a whip-smart sense of narrative bluffs .,3
322,"Although the subject matter may still be too close to recent national events , the film works - mostly due to its superior cast of characters .",3
323,"Payne constructs a hilarious ode to middle America and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human .",3
324,... bibbidy-bobbidi-bland .,0
325,"Combines improbable melodrama ( gored bullfighters , comatose ballerinas ) with subtly kinky bedside vigils and sensational denouements , and yet at the end , we are undeniably touched .",3
326,"( Fiji diver Rusi Vulakoro and the married couple Howard and Michelle Hall ) show us the world they love and make us love it , too .",4
327,"( A ) rare , beautiful film .",4
328,Moonlight Mile gives itself the freedom to feel contradictory things .,3
329,Disturbing .,1
330,The philosophical musings of the dialogue jar against the tawdry soap opera antics of the film 's action in a way that is surprisingly enjoyable .,2
331,"But taken as a stylish and energetic one-shot , The Queen of the Damned can not be said to suck .",3
332,"A dull , somnambulant exercise in pretension whose pervasive quiet is broken by frequent outbursts of violence and noise .",0
333,The leads we are given here are simply too bland to be interesting .,1
334,A film that takes you inside the rhythms of its subject : You experience it as you watch .,3
335,"A big-budget\/all-star movie as unblinkingly pure as The Hours is a distinct rarity , and an event .",3
336,the film tunes into a grief that could lead a man across centuries .,3
337,"It 's all entertaining enough , but do n't look for any hefty anti-establishment message in what is essentially a whip-crack of a buddy movie that ends with a whimper .",2
338,It does n't matter that the film is less than 90 minutes .,3
339,But the movie that does n't really deliver for country music fans or for family audiences,0
340,"tale will be all too familiar for anyone who 's seen George Roy Hill 's 1973 film , `` The Sting . ''",1
341,"The seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going .",2
342,"With few respites , Marshall keeps the energy humming , and his edits , unlike those in Moulin Rouge , are crisp and purposeful without overdoing it .",4
343,Is it something any true film addict will want to check out ?,2
344,"Watching E.T now , in an era dominated by cold , loud special-effects-laden extravaganzas , one is struck less by its lavish grandeur than by its intimacy and precision .",2
345,Sleek and arty .,3
346,"A slam-bang extravaganza that is all about a wild-and-woolly , wall-to-wall good time .",4
347,"Meyjes focuses too much on Max when he should be filling the screen with this tortured , dull artist and monster-in-the - making .",2
348,"The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .",3
